date,title,body,url,image,source,symbol
2025-02-09 00:00:00+00:00,Bitcoin's role as a reserve asset gains traction in US as states adopt,"US states are introducing Bitcoin reserve bills, fueling speculation about a global accumulation race as institutions and governments adopt BTC as a reserve asset. The growing number of Bitcoin ...",https://cointelegraph.com/news/bitcoin-reserve-us-states-global-accumulation,,CoinTelegraph,BTC
2025-02-10 00:00:00+00:00,Bitcoin's meme ICO going viral 24 hours before launch,"Bitcoin is about to get a meme-fueled upgrade: Bitcoin Pepe is a layer 2 integrating Solana' technology into crypto's oldest blockchain. It's the PEP-20 token standard, allowing anyone to ...",https://cointelegraph.com/press-releases/bitcoin-meme-ico-going-viral-24-hours-before-launch,,CoinTelegraph,BTC
2025-02-11 17:43:00+00:00,A research firm says the speculative mania in crypto is peaking — and it's launched a meme coin to prove it,"The firm initiated a bullish stance on bitcoin and crypto broadly in 2023, and previously said it saw bitcoin climbing past $200,000. Since that call, bitcoin has surged, drawing more ...",https://markets.businessinsider.com/news/currencies/bitcoin-price-prediction-btc-crypto-meme-coins-market-forecast-2025-2,,Business Insider,BTC
2025-02-12 00:01:00+00:00,Bitcoin price could reach $1.5M by 2030 — Cathie Wood,"Bitcoin may reach $1.5 million by 2030, says ARK Invest CEO Cathie Wood, citing rising institutional adoption and growing demand for BTC as an asset class. Bitcoin's chances of reaching $1.5 ...",https://cointelegraph.com/news/bitcoin-odds-1-5-m-increase-institutionalization-cathie-wood,,CoinTelegraph,BTC
2025-02-15 13:45:00+00:00,"Ethereum Staking ETFs Coming By 2025, Says Lido Institutional Head","ILLUSTRATION - 23 April 2024, Baden-Württemberg, Rottweil: The logo of the cryptocurrency Ethereum ... [+] (ETH) and a candle chart can be seen on the CoinMarcetCap trading platform. Photo ...",https://www.forbes.com/sites/boazsobrado/2025/02/15/ethereum-staking-etfs-coming-by-2025-says-lido-institutional-head/,,Forbes,ETH
2025-02-15 17:22:00+00:00,El Salvador Dispatch: How Bitcoin Taught a Nation to Dream,"It was the first Bitcoin forum in the Central American nation to have a full dual-language agenda — meaning sessions in both English and Spanish. For Roman Martínez, a Salvadoran co-founder of ...",https://www.coindesk.com/coindesk-news/2025/02/14/el-salvador-dispatch-how-bitcoin-taught-a-nation-to-dream,,CoinDesk,BTC
2025-02-16 18:59:00+00:00,Argentine president could face impeachment trial after touting cryptocurrency that later crashed,"Argentine President Javier Milei could face an impeachment trial in Congress, opposition lawmakers said on Saturday, after the libertarian leader touted a cryptocurrency which crashed soon after.",https://www.usatoday.com/story/news/world/2025/02/16/argentine-president-impeachment-trial-cryptocurrency/78877535007/,,USA Today,
2025-02-17 23:59:00+00:00,Is Ethereum bottoming out at last? Analysts weigh in,"Popular analyst Crypto Yodhha shared a chart that suggests Ethereum has likely bottomed, following a structure similar to its 2019-2020 cycle before its 2,550% rally. A key technical feature in ...",https://cointelegraph.com/news/has-ethereum-price-bottomed,,CoinTelegraph,ETH
2025-02-17 23:59:00+00:00,Mastering Bitcoin On-Chain Data,"Bitcoin's price movements dominate headlines, but the real story of BTC lies beneath the surface. Beyond technical analysis and price speculation, on-chain data offers an unparalleled view of supply, demand, and investor behavior in real time. By ...",https://bitcoinmagazine.com/markets/mastering-bitcoin-on-chain-data,,Bitcoin Magazine,BTC
2025-02-17 23:59:00+00:00,Bitcoin Magazine Pro,"Bitcoin's low volatility signals an imminent big move, data shows. Tight Bollinger Bands and past trends suggest a 20-30%+ shift soon, with clues pointing to a potential bull run. Gain deeper insights into market cycles by mastering Bitcoin on-chain data ...",https://bitcoinmagazine.com/tags/bitcoin-magazine-pro,,Bitcoin Magazine,BTC
